Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (mnd);Minimumstemperatur (mnd)
Kise På Hedmark;SN12550;01.2025;5,7;-18,9
Kise På Hedmark;SN12550;02.2025;7,6;-18,4
Kise På Hedmark;SN12550;03.2025;13,4;-7,2
Kise På Hedmark;SN12550;04.2025;18,5;-2,5
Kise På Hedmark;SN12550;05.2025;26,4;-1,4
Kise På Hedmark;SN12550;06.2025;23,7;4,2
Kise På Hedmark;SN12550;07.2025;31,9;6,6
Kise På Hedmark;SN12550;08.2025;25,7;3,4
Kise På Hedmark;SN12550;09.2025;21,1;8,7
Data er gyldig per 18.09.2025 (CC BY 4.0), Meteorologisk institutt (MET);;;;
